score,lat,lon
11957.5,37.5149747,126.98287420000001
14090.5,37.5153401,126.9832213
15521.0,37.51557329999999,126.9830786
12614.5,37.5159654,126.98634799999999
8010.0,37.51624149999999,126.9797013
18870.0,37.51643399999999,126.9824226
18669.0,37.51647870000001,126.98443170000002
3675.0,37.516797600000004,126.97731950000001
11848.0,37.5168212,126.98789450000001
16779.5,37.516852861635215,126.98559110326009
20299.0,37.51697410000001,126.98276440000001
7184.5,37.516993488199795,126.97892791004665
8908.5,37.517060600078146,126.95850375008915
4321.5,37.5171309,126.9774831
2864.5,37.51714216727889,126.9703303867296
17457.5,37.5172645,126.9857503
10536.0,37.51726649999999,126.9895114
12786.5,37.51727660000001,126.9866897
3570.5,37.51732000001636,126.97684935001436
2874.0,37.51743736733058,126.97095949768604
3545.5,37.51746259999999,126.9763716
2658.0,37.5174682,126.97471369999998
2353.0,37.51753660000001,126.9735061
11886.5,37.51759770000001,126.98681570000001
19956.5,37.51765619367249,126.98289894014513
9278.5,37.5176706,126.9896103
4580.0,37.517706,126.9771068
9665.5,37.517743450012325,126.97928284991168
20006.5,37.5177472,126.9842334
3184.0,37.5177513,126.97485400000001
3490.0,37.51777525002181,126.9706388000247
16266.5,37.51778880000001,126.981624
2840.0,37.5178002,126.9736322
18664.0,37.517817571262604,126.98370594020085
17592.0,37.51784380003725,126.98503900001516
16375.0,37.51785115005431,126.9856115999719
4551.0,37.5178676,126.9765702
12632.0,37.51788299999999,126.98654500000002
2785.5,37.51803045001257,126.97240174991205
9232.5,37.51807915008556,126.95921330010185
10952.5,37.5181342,126.9794681
3708.0,37.518179950008935,126.97381389993627
4416.5,37.51821809999999,126.9750852
10624.5,37.518235,126.97915259999998
14710.0,37.51827465000001,126.98169474999978
7624.0,37.5182786000065,126.97809110000635
6644.5,37.5182847,126.99449210000002
12413.5,37.5183066000007,126.98678535000452
6547.5,37.5183109,126.99456140000001
8625.5,37.518325750000464,126.98959785000281
11977.0,37.5183258,126.9804435
13475.5,37.51838690000001,126.98570430000001
8169.0,37.51854640000001,126.97817790000002
3910.5,37.51855375001186,126.972655999917
13025.5,37.518570700000005,126.98173440000001
4877.0,37.51857570000001,126.9740033
15914.5,37.518632200000006,126.9831678
12614.5,37.5186664,126.9867771
10251.0,37.51869859999999,126.9805061
8554.5,37.51870180000001,126.9895906
6037.0,37.5187266,126.9697167
6313.5,37.51875160003791,126.97534949973968
7154.0,37.51889760000289,126.97553994997952
8331.0,37.5188986,126.97707540000002
