,lon,lat
103,127.00195831945982,37.5706563141699
104,126.99785440116592,37.57011292480243
141,127.01299580288246,37.56062635919605
159,126.98252501394049,37.56800836032237
160,126.98149001206018,37.567951490033934
245,127.00239962010896,37.56562412220585
256,126.98912743852867,37.55953020769664
263,126.98348987595195,37.56710397439229
264,126.98314282564118,37.566905255103315
265,126.9829219461619,37.56691004669671
279,126.98462265220226,37.56734649869735
280,126.98453813162001,37.566577804784025
294,126.98383333775766,37.56683162999874
309,126.98531706609177,37.56673077186814
387,126.97141634560332,37.56731861084746
388,126.97137218795497,37.5673823394064
465,126.98571039773,37.567394235746704
604,127.0127797061315,37.555316984952086
605,127.01224503821582,37.5551601282364
623,127.01257902567578,37.554754621817736
624,127.01272345151646,37.55478663668888
625,127.01388919151152,37.55458293297279
626,127.01435057560248,37.5546281654127
627,127.01479002647757,37.554770997174515
628,127.0146439322965,37.5549094609042
629,127.01487547724692,37.55511625068244
736,126.97840611947039,37.57164774511454
796,126.97747912767618,37.571629449029444
1048,127.0048507207799,37.56708106887925
1049,127.01261408185701,37.55603993479995
1117,126.96988193078839,37.56948738932162
1119,126.9834858471249,37.56014388142585
1120,126.98353103392566,37.560247462024144
1127,126.98368824294698,37.55969360683714
1232,127.01871093512214,37.57150656467475
1233,127.0186154465271,37.571516770033526
1245,127.01851050568565,37.57172592821953
1246,127.01844052706896,37.57177565008342
1247,127.01847480658984,37.57186646122135
1248,127.01820144498987,37.57226755010217
1249,127.01816419488611,37.57244340941407
1250,127.0180255313191,37.57251443042881
1331,126.98334364982738,37.560806470979735
1332,126.98186517758441,37.5611654116341
1336,126.96340081373741,37.55565977602827
1338,127.01430792568041,37.56139191905295
1363,126.98848416294565,37.56722496528687
1366,126.98896662265214,37.56761857555339
1399,127.02191520050692,37.56561534301321
1400,127.02242700350308,37.56582146758403
1401,127.02226930915596,37.56578718367072
1414,126.98258196281233,37.558807057158255
1436,126.98146840851209,37.558512092871204
1443,127.00314418119957,37.56419979941775
1444,127.00271146437008,37.5642099920347
1461,127.02080730127886,37.5609454883462
1462,127.02069464296201,37.560871901476425
1463,127.02058294857176,37.56117365044781
1464,127.02140014108211,37.561918241531956
1466,127.02296508010718,37.56129869641168
1467,127.02288517135439,37.56134124984578
1468,127.02091059179018,37.56147473531029
1469,127.02168225031,37.56140530184486
1470,127.02177154060229,37.56144454409376
1654,126.99599792878249,37.557434166783736
1732,127.01598349149437,37.5682070646229
1743,126.97828044711734,37.564780628194974
1745,126.97814157506933,37.56434976465599
1746,126.97847400607237,37.563903930244976
1747,126.97852710702564,37.563772636480934
1831,126.99852824164292,37.566405535410034
1863,126.96853260282853,37.56204994433379
