,lat,lon
126,37.55962012239311,127.04099108404152
127,37.561184378398046,127.041379908142
128,37.561478881547295,127.04144660905736
139,37.56181297064456,127.04152955565354
281,37.55749011015804,127.03059799487656
282,37.55744345207378,127.0302740952732
283,37.55741239282672,127.03080260579944
284,37.55654369427848,127.0331069067198
291,37.54196270438789,127.0519279391438
292,37.54210286972029,127.05195020270124
293,37.54241310758389,127.0522535805361
310,37.54341459952684,127.05188407007364
311,37.54221711843149,127.05117678054732
312,37.54203880845523,127.05118108967484
313,37.54195028711545,127.05100196873975
314,37.54203856698071,127.0509879108093
315,37.5420430043603,127.05268505994476
438,37.574762986508,127.03731971176464
439,37.57485968456316,127.0373971234368
451,37.56108281770172,127.04821683775084
452,37.5639308674261,127.03560697885275
904,37.57361425032942,127.03519263043228
905,37.57278649116749,127.03583838903825
942,37.57359309538913,127.03724629968988
982,37.573569181845386,127.03687282258996
983,37.57362133616319,127.0355555262896
985,37.57366768577896,127.03570957949584
986,37.57368458156433,127.0364989490312
987,37.57364257174767,127.0366293883395
1008,37.57365188673478,127.03695228055167
1009,37.573573209800514,127.03542974366358
1025,37.55636404398078,127.02466587663638
1038,37.54694240258088,127.04873363488372
1051,37.56654316334878,127.03294418762916
1052,37.568342687573015,127.03353423001047
1053,37.56847322960128,127.03369379009992
1054,37.56760692543275,127.03501596256886
1082,37.54270759300475,127.01713062631528
1083,37.542615451596525,127.01679585690812
1084,37.54637448494586,127.0634346752998
1085,37.55076116181844,127.01934191049445
1102,37.56239092902164,127.04888011533176
1457,37.55545913318866,127.03358384123526
1465,37.56207749005741,127.02409586690668
1471,37.55591231301001,127.0338845871552
1472,37.556142634176304,127.0336812854014
1473,37.55520249525309,127.03333630017848
1521,37.54246911099498,127.04219562687504
1537,37.56484747873727,127.03444919683314
1597,37.55639098578132,127.03344243832645
1598,37.55460856694236,127.0319362511924
1599,37.55443943145741,127.03166315928506
1600,37.54538020990406,127.04418949187335
1601,37.54542589045788,127.04366540788412
1620,37.54552859362828,127.04337663318034
1621,37.54503322899952,127.04331851802344
1622,37.54516628459038,127.04318604471528
1623,37.54384347850701,127.04279983832738
1772,37.5684065440055,127.04059428609946
1868,37.5384153190377,127.05632016579936
1878,37.54348977768528,127.0150140575192
2168,37.57160025209988,127.03878472204045
2171,37.571592963863885,127.03891779082052
2931,37.565118333566055,127.04156973836363
3075,37.56270898961293,127.05784673671614
3419,37.54312682488671,127.06037912633718
3420,37.54337078064793,127.0604946337664
3433,37.547785956467735,127.05805369815616
3508,37.54824108413247,127.06015429231988
3565,37.544827329102205,127.06281047366554
3566,37.567796932671214,127.0310620002322
3567,37.544416254626654,127.0643631376195
3570,37.54438214412093,127.06444058301147
3584,37.5381040107649,127.05153554334346
3585,37.53865127022125,127.04833662144831
3586,37.53832444311257,127.04932339528374
3605,37.53799903933974,127.05147138440265
3638,37.5647332218851,127.03618591246328
3639,37.56475032609922,127.03648886244952
3686,37.53978491718949,127.05182554211174
3720,37.57109368774654,127.04952958817404
3734,37.56127522981778,127.05704801090938
3735,37.57191799558436,127.04842090278382
3751,37.5557973315113,127.049885512719
3754,37.56725653574672,127.0369983065932
3845,37.53788988878678,127.0523475088696
3860,37.53994696036036,127.05041062107652
3911,37.54070638785179,127.048166887175
3912,37.5405579719757,127.04802512788638
3913,37.540677807320456,127.047936671482
3954,37.56664233251937,127.0320875464039
3955,37.563892298372856,127.03608393894363
4058,37.5401156562206,127.05046637906084
4130,37.56618555492297,127.05545257935016
4132,37.56692619971976,127.05673958966185
4166,37.54013786789528,127.04964691533442
4167,37.54058202435719,127.0482511719237
6510,37.56444581560114,127.03437753479888
7343,37.56260389720767,127.05805582193692
7344,37.562055554068486,127.05934968130688
7369,37.56211897341992,127.06101572632326
7563,37.53923917666582,127.04636728816506
7568,37.53903252205514,127.04715822574106
7569,37.53775302252658,127.05336608573144
7570,37.54132251229192,127.04591617800016
7571,37.53757879056224,127.05423045694177
7572,37.53749936888156,127.05428878622456
7578,37.55212467956892,127.03417985659942
7579,37.54800471453153,127.03995497473898
7580,37.53754715631728,127.05440705224396
7581,37.53763699012353,127.05435023357629
7582,37.537315515715775,127.05513485730694
7583,37.53733557610913,127.05530177899143
7584,37.53723933614205,127.05545955792728
7585,37.5371346843995,127.05551914064972
7586,37.53710757524622,127.05540057816184
7587,37.53655987112741,127.0538976271844
7588,37.53664983569584,127.05751261176611
7598,37.55240992804959,127.03514167356406
7599,37.55235141695203,127.03488379583332
7649,37.54760368474726,127.03645702145182
7704,37.54715409877515,127.0216851884256
7705,37.54701190795375,127.02154880117448
7725,37.548074031470286,127.05535598272064
7742,37.56542178011137,127.04712816114908
7761,37.54844980232684,127.01684004365504
7762,37.5485428154016,127.01668063408404
7763,37.54778819716442,127.0157822476238
7847,37.56268312982396,127.05579736264131
7880,37.536461343293006,127.05925539455735
7881,37.53654730385236,127.0585873104145
