,lat,lon
21,37.52406921811838,126.97194590134744
23,37.52335837778274,126.97172201136628
25,37.52393953524224,126.97199862446132
26,37.52395800285156,126.97220177781792
34,37.5392224823205,126.9588236368901
40,37.54639717516568,126.96340741380747
58,37.53090910641024,127.00770798229182
60,37.53081590426536,127.00777666821791
92,37.54123233007884,126.9622279163223
321,37.53999794955696,126.97072414579289
322,37.53841009475825,126.97075160519736
327,37.53808093730827,126.97069267458704
909,37.52178265167439,126.96629713993478
1055,37.53393047826588,126.96675603588407
1056,37.53440826007403,126.9674848819574
1057,37.53454334008591,126.966685654798
1058,37.5301267153114,126.99687547992274
1059,37.520352034392985,126.97693601613834
1060,37.53440368554797,126.96673142429556
1061,37.53434479683175,126.9666413777499
1062,37.53435794311711,126.9676341150427
1063,37.53734342984364,126.9661866176518
1075,37.52120423024866,126.97441696659617
1076,37.52144525431434,126.97365323608994
1077,37.52210030159594,126.9716457748462
1078,37.52216361839651,126.97126858912026
1079,37.5222422343418,126.97118078302228
1080,37.52212358199637,126.97116634952025
1081,37.52204754607993,126.97120617741145
1317,37.534737968700526,126.96214361893416
1325,37.53279801090853,126.97533996379748
1373,37.53353521674184,127.00784629977868
1407,37.54672873067164,126.98133449774149
1431,37.54664516312639,126.98128935969666
1496,37.53737888638604,126.96800784385228
1678,37.5249594352132,126.9935693559488
1679,37.52505220791061,126.9936630310237
1680,37.52511180852412,126.9943987605964
1681,37.52525911401291,126.99521645922556
1682,37.52520154251839,126.99531611848992
1683,37.52525770454696,126.9954039479502
1703,37.52533050266237,126.99532093875274
1704,37.52525528725832,126.99576733932555
1705,37.52515523776273,126.9959388344017
1706,37.52532095320926,126.99601310070116
1707,37.525770080693526,126.99625806444078
1708,37.52589577581816,126.99645042372674
1709,37.5259987924404,126.99620409561297
1710,37.52641489692064,126.99529432300916
1711,37.52641016736845,126.99516230584798
1764,37.53580057209653,127.01123732420912
1765,37.53686288426154,127.01131946005748
1848,37.54682946072745,126.96228374963394
1989,37.54963172182323,126.969729601545
2027,37.54122096675134,126.96194657958796
2028,37.54146728912429,126.96197514254597
2029,37.54151466383509,126.96223419247676
2030,37.54179351274024,126.96222696322644
2035,37.518975192052594,126.99434927463749
2041,37.54357579444567,126.96225862188068
2043,37.54376882789286,126.96233190268704
2051,37.52082542338357,126.99370255589729
2052,37.52106131665775,126.9936610315767
2072,37.52141118084367,126.99392136156472
2074,37.54640328373147,126.96329398906197
2075,37.546864229694535,126.9614148745796
2076,37.54702196356102,126.9612515949923
2077,37.54701638889416,126.96113314489718
2090,37.542187374910135,126.9620157974311
2091,37.542710333032176,126.96080719110527
2093,37.54715473293395,126.96114185604516
2094,37.54668481430418,126.96322319415611
2095,37.54660160556581,126.96315737002976
